switch_delay_s,task,level,skill,t_start_s,t_end_s,x_start_m,x_end_m,duration_s
0,jump_on_and_off_box,9,RUN,45.7,46.7,11.8289,12.3078,1
0,jump_on_and_off_box,9,WALK,46.7,50.6,12.3078,13.086,3.9
0,jump_on_and_off_box,9,RUN,50.6,50.9,13.086,13.2297,0.3
0,jump_on_and_off_box,9,WALK,50.9,55,13.2297,14.0339,4.1
0,jump_on_and_off_box,9,RUN,55,59.3,14.0339,16.05,4.3
0,forward_ramp_lips,0,TROT,0,0,1,1,0
0,forward_ramp_lips,0,WALK,0,7.7,1,2.53841,7.7
0,forward_ramp_lips,0,RUN,7.7,7.9,2.53841,2.6344,0.2
0,forward_ramp_lips,0,WALK,7.9,18.2,2.6344,4.68897,10.3
0,forward_ramp_lips,0,RUN,18.2,18.4,4.68897,4.78496,0.2
0,forward_ramp_lips,0,WALK,18.4,22.4,4.78496,5.58495,4
0,forward_ramp_lips,0,TROT,22.4,22.5,5.58495,5.63995,0.1
0,forward_ramp_lips,0,WALK,22.5,26.5,5.63995,6.43277,4
0,forward_ramp_lips,0,RUN,26.5,26.7,6.43277,6.52861,0.2
0,forward_ramp_lips,0,WALK,26.7,37,6.52861,8.58172,10.3
0,forward_ramp_lips,0,RUN,37,37.2,8.58172,8.67769,0.2
0,forward_ramp_lips,0,WALK,37.2,47.3,8.67769,10.6864,10.1
0,forward_ramp_lips,0,RUN,47.3,47.5,10.6864,10.7823,0.2
0,forward_ramp_lips,0,WALK,47.5,51.5,10.7823,11.5821,4
0,forward_ramp_lips,0,TROT,51.5,51.9,11.5821,11.802,0.4
0,forward_ramp_lips,0,WALK,51.9,55.8,11.802,12.577,3.9
0,forward_ramp_lips,0,RUN,55.8,59.3,12.577,14.25,3.5
0,forward_ramp_lips,1,TROT,0,0,1,1,0
0,forward_ramp_lips,1,WALK,0,3.7,1,1.73959,3.7
0,forward_ramp_lips,1,TROT,3.7,4.1,1.73959,1.95921,0.4
0,forward_ramp_lips,1,WALK,4.1,8.1,1.95921,2.74196,4
0,forward_ramp_lips,1,RUN,8.1,8.3,2.74196,2.83795,0.2
0,forward_ramp_lips,1,WALK,8.3,12.3,2.83795,3.63781,4
0,forward_ramp_lips,1,TROT,12.3,13.1,3.63781,4.07773,0.8
0,forward_ramp_lips,1,WALK,13.1,16.9,4.07773,4.82777,3.8
0,forward_ramp_lips,1,RUN,16.9,17.2,4.82777,4.9714,0.3
0,forward_ramp_lips,1,WALK,17.2,21,4.9714,5.72947,3.8
0,forward_ramp_lips,1,TROT,21,21.7,5.72947,6.11349,0.7
0,forward_ramp_lips,1,WALK,21.7,25.7,6.11349,6.89472,4
0,forward_ramp_lips,1,RUN,25.7,25.9,6.89472,6.99055,0.2
0,forward_ramp_lips,1,WALK,25.9,29.9,6.99055,7.78912,4
0,forward_ramp_lips,1,TROT,29.9,30.3,7.78912,8.00873,0.4
0,forward_ramp_lips,1,WALK,30.3,34.3,8.00873,8.78902,4
0,forward_ramp_lips,1,RUN,34.3,34.5,8.78902,8.88468,0.2
0,forward_ramp_lips,1,WALK,34.5,38.5,8.88468,9.68183,4
0,forward_ramp_lips,1,TROT,38.5,39,9.68183,9.95585,0.5
0,forward_ramp_lips,1,WALK,39,42.9,9.95585,10.7299,3.9
0,forward_ramp_lips,1,RUN,42.9,43.2,10.7299,10.8732,0.3
0,forward_ramp_lips,1,WALK,43.2,47,10.8732,11.6294,3.8
0,forward_ramp_lips,1,TROT,47,47.2,11.6294,11.7389,0.2
0,forward_ramp_lips,1,WALK,47.2,51.3,11.7389,12.5423,4.1
0,forward_ramp_lips,1,RUN,51.3,54.8,12.5423,14.2,3.5
0,forward_ramp_lips,2,TROT,0,0,1,1,0
0,forward_ramp_lips,2,WALK,0,3.7,1,1.73994,3.7
0,forward_ramp_lips,2,TROT,3.7,4.4,1.73994,2.12485,0.7
0,forward_ramp_lips,2,WALK,4.4,8.3,2.12485,2.88894,3.9
0,forward_ramp_lips,2,RUN,8.3,8.5,2.88894,2.9848,0.2
0,forward_ramp_lips,2,WALK,8.5,12.5,2.9848,3.78359,4
0,forward_ramp_lips,2,TROT,12.5,13.1,3.78359,4.11309,0.6
0,forward_ramp_lips,2,WALK,13.1,17,4.11309,4.88071,3.9
0,forward_ramp_lips,2,RUN,17,17.3,4.88071,5.02424,0.3
0,forward_ramp_lips,2,WALK,17.3,21.1,5.02424,5.78173,3.8
0,forward_ramp_lips,2,TROT,21.1,21.8,5.78173,6.16546,0.7
0,forward_ramp_lips,2,WALK,21.8,25.7,6.16546,6.92807,3.9
0,forward_ramp_lips,2,RUN,25.7,26,6.92807,7.07159,0.3
0,forward_ramp_lips,2,WALK,26,34.4,7.07159,8.73688,8.4
0,forward_ramp_lips,2,RUN,34.4,34.6,8.73688,8.83264,0.2
0,forward_ramp_lips,2,WALK,34.6,38.6,8.83264,9.6307,4
0,forward_ramp_lips,2,TROT,38.6,39.4,9.6307,10.0696,0.8
0,forward_ramp_lips,2,WALK,39.4,43.3,10.0696,10.845,3.9
0,forward_ramp_lips,2,RUN,43.3,43.5,10.845,10.941,0.2
0,forward_ramp_lips,2,WALK,43.5,51.8,10.941,12.5931,8.3
0,forward_ramp_lips,2,RUN,51.8,55.3,12.5931,14.25,3.5
0,forward_ramp_lips,3,TROT,0,0,1,1,0
0,forward_ramp_lips,3,WALK,0,3.7,1,1.73962,3.7
0,forward_ramp_lips,3,TROT,3.7,4.5,1.73962,2.17893,0.8
0,forward_ramp_lips,3,WALK,4.5,8.4,2.17893,2.94297,3.9
0,forward_ramp_lips,3,RUN,8.4,8.6,2.94297,3.03897,0.2
0,forward_ramp_lips,3,WALK,8.6,12.6,3.03897,3.83895,4
0,forward_ramp_lips,3,TROT,12.6,13.2,3.83895,4.16895,0.6
