task,level,switch_delay_s,step_walk_max_m,lookahead_trot_m,px_ground_width_m,obs_step_up_max,obs_step_up_p95,obs_step_up_mean,true_step_up_max,true_step_up_p95,true_step_up_mean,ticks_in_jump_band,jump_gate,requests_dropped_busy,jump_detections,jump_tracks_missed,jump_band_ticks,jump_blocked_far,jump_blocked_retrigger,switches,jumps,goals_reached,goals_total,sim_time_s,travelled_m,stalled,timed_out,n_segments,warn_tick_frac,blind_tick_frac,stale_tick_frac,unsupported_fatal,unsupported_unverified,frac_WALK,frac_TROT,frac_RUN,frac_JUMP,sequence
sphere_bump,3,0,0.06,0.05,0.00316793,0.335,0.095,0.0444429,0.335,0.095,0.0444429,360,near_edge,0,0,0,276,0,264,25,12,8,8,72.7,15.35,False,False,38,1,0,0,2,0,0.737276,0.0302613,0.100413,0.13205,TROT→RUN→TROT→JUMP→WALK→JUMP→WALK→TROT→RUN→JUMP→WALK→JUMP→WALK→TROT→RUN→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→TROT→RUN→TROT→JUMP→WALK→JUMP→WALK→TROT→RUN→WALK
sphere_bump,4,0,0.06,0.05,0.00316793,0.1,0.1,0.0441817,0.1,0.1,0.0441817,362,near_edge,0,0,0,278,0,266,18,12,8,8,72.1,14.3065,False,False,31,1,0,0,0,0,0.772538,0.00416089,0.0901526,0.133148,TROT→RUN→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→TROT→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN
sphere_bump,5,0,0.06,0.05,0.00316793,0.1,0.1,0.0486587,0.1,0.1,0.0486587,364,near_edge,0,0,0,280,0,268,19,12,8,8,71.2,14.1227,False,False,32,1,0,0,0,0,0.772472,0.00842697,0.0842697,0.134831,TROT→RUN→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→TROT→RUN→TROT→JUMP→WALK→JUMP→WALK→RUN
sphere_bump,6,0,0.06,0.05,0.00316793,0.11,0.105,0.0519958,0.11,0.105,0.0519958,367,near_edge,0,0,0,283,0,271,19,12,8,8,70.9,14.1915,False,False,32,1,0,0,0,0,0.764457,0.00705219,0.0930889,0.135402,TROT→RUN→JUMP→WALK→JUMP→WALK→TROT→RUN→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→RUN
sphere_bump,7,0,0.06,0.05,0.00316793,0.12,0.11,0.0543696,0.12,0.11,0.0543696,368,near_edge,0,0,0,284,0,272,18,12,8,8,69,13.6019,False,False,31,1,0,0,0,0,0.766667,0.00144928,0.0927536,0.13913,TROT→RUN→TROT→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→RUN
sphere_bump,8,0,0.06,0.05,0.00316793,0.11,0.11,0.0589822,0.11,0.11,0.0589822,395,near_edge,0,0,0,311,0,299,16,12,8,8,67.3,12.8796,False,False,29,1,0,0,0,0,0.781575,0,0.0757801,0.142645,TROT→RUN→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→RUN
sphere_bump,9,0,0.06,0.05,0.00316793,0.125,0.125,0.0604525,0.125,0.125,0.0604525,379,near_edge,0,0,0,302,0,291,17,11,8,8,66.3,13.3235,False,False,29,1,0,0,0,0,0.764706,0.00754148,0.0950226,0.13273,TROT→RUN→JUMP→WALK→RUN→TROT→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→TROT→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→RUN
box_jump_even,0,0,0.06,0.05,0.00316793,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,13,0,8,8,33.3,9.97353,False,False,14,1,0,0,46,41,0.630631,0,0.369369,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
box_jump_even,1,0,0.06,0.05,0.00316793,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,13,0,8,8,34.4,10.2565,False,False,14,1,0,0,49,43,0.639535,0,0.360465,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
box_jump_even,2,0,0.06,0.05,0.00316793,0,0,0,0,0,0,0,near_edge,0,0,0,0,0,0,13,0,8,8,34.7,10.4594,False,False,14,1,0,0,48,45,0.628242,0,0.371758,0,TROT→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
